nfl_id,player_name,player_position,targets,catches,catch_rate,avg_crp,high_pressure_pct,avg_air_yards,expected_catch_rate,avg_yards,croe_v3,rank
42489,Stefon Diggs,WR,54,32,0.5926,0.3172,0.3148,18.8889,0.5808,11.5185,0.0118,54
55934,Tank Dell,WR,40,24,0.6,0.2434,0.275,21.35,0.5906,13.325,0.0094,55
52442,Michael Pittman,WR,39,22,0.5641,0.2552,0.2308,15.2308,0.5547,12.0769,0.0094,56
40488,Adam Thielen,WR,46,28,0.6087,0.2052,0.1957,15.2391,0.6001,11.1739,0.0086,57
43396,Chris Moore,WR,17,10,0.5882,0.5181,0.5294,22.9412,0.5804,14.4118,0.0078,58
46095,Calvin Ridley,WR,65,36,0.5538,0.334,0.3077,19.3538,0.5479,10.8154,0.006,59
43324,Hunter Henry,TE,20,13,0.65,0.4055,0.4,15.0,0.6457,9.85,0.0043,60
47859,Terry McLaurin,WR,55,28,0.5091,0.4808,0.4364,21.3273,0.5085,11.0182,0.0006,61
42412,Tyler Lockett,WR,38,24,0.6316,0.3239,0.3421,19.9211,0.6321,11.9737,-0.0005,62
54608,Chig Okonkwo,TE,17,10,0.5882,0.3107,0.2941,17.4706,0.5898,10.2941,-0.0015,63
54475,Garrett Wilson,WR,54,26,0.4815,0.501,0.4815,18.537,0.483,10.5926,-0.0015,64
43415,Demarcus Robinson,WR,16,10,0.625,0.1623,0.125,18.4375,0.6266,15.3125,-0.0016,65
46213,Justin Watson,WR,32,15,0.4688,0.4,0.3125,23.5,0.4706,11.625,-0.0018,66
54613,Khalil Shakir,WR,16,12,0.75,0.2436,0.25,18.625,0.7537,20.3125,-0.0037,67
54518,Alec Pierce,WR,35,16,0.4571,0.5605,0.6286,21.8571,0.4646,11.5143,-0.0075,68
54476,Chris Olave,WR,62,32,0.5161,0.3067,0.2581,22.4516,0.5239,11.3226,-0.0077,69
44912,Jonnu Smith,TE,17,10,0.5882,0.3263,0.3529,14.8824,0.5988,12.9412,-0.0106,70
55920,Rashee Rice,WR,20,13,0.65,0.2516,0.3,15.35,0.6624,14.0,-0.0124,71
41246,Brandin Cooks,WR,34,21,0.6176,0.3389,0.3529,17.9118,0.6303,12.7647,-0.0126,72
46150,Michael Gallup,WR,21,10,0.4762,0.4804,0.4286,20.5238,0.4929,11.0952,-0.0167,73
47954,Darius Slayton,WR,30,15,0.5,0.4319,0.3667,21.6667,0.5175,13.7333,-0.0175,74
54597,Romeo Doubs,WR,39,20,0.5128,0.3974,0.359,20.2821,0.535,9.5385,-0.0221,75
39973,DeAndre Hopkins,WR,63,34,0.5397,0.3718,0.3651,21.5873,0.5627,12.6508,-0.023,76
55889,Dalton Kincaid,TE,16,10,0.625,0.2142,0.25,17.1875,0.6498,13.875,-0.0248,77
40024,Keenan Allen,WR,46,28,0.6087,0.177,0.1957,19.2826,0.6352,13.6304,-0.0265,78
42363,Nelson Agholor,WR,18,12,0.6667,0.2576,0.2222,16.5,0.6934,10.9444,-0.0267,79
47847,DK Metcalf,WR,47,27,0.5745,0.3496,0.3404,18.8085,0.6017,15.1489,-0.0272,80
53433,Kyle Pitts,TE,44,22,0.5,0.217,0.1818,17.3636,0.5366,8.6591,-0.0366,81
44841,David Njoku,TE,18,8,0.4444,0.3259,0.3889,17.0556,0.4819,10.4444,-0.0374,82
43344,Tyler Boyd,WR,27,18,0.6667,0.3674,0.3333,14.1481,0.7058,13.9259,-0.0392,83
47808,Marquise Brown,WR,39,17,0.4359,0.4412,0.5128,20.5128,0.4759,7.9487,-0.04,84
53486,Tutu Atwell,WR,31,16,0.5161,0.2604,0.1935,19.2903,0.5607,11.5161,-0.0445,85
44959,George Kittle,TE,38,25,0.6579,0.2833,0.2368,17.1316,0.7031,17.2105,-0.0452,86
52581,Darnell Mooney,WR,17,8,0.4706,0.4002,0.3529,22.7059,0.5192,11.2353,-0.0487,87
47849,Diontae Johnson,WR,41,18,0.439,0.3589,0.3415,20.1951,0.4912,10.4878,-0.0522,88
41282,Davante Adams,WR,65,33,0.5077,0.2879,0.2308,19.5231,0.5633,9.2462,-0.0556,89
54477,Jameson Williams,WR,22,11,0.5,0.3913,0.4091,24.6818,0.5558,13.1818,-0.0558,90
55886,Zay Flowers,WR,32,17,0.5312,0.2158,0.2188,23.2188,0.5897,14.5625,-0.0585,91
55939,Cedric Tillman,WR,17,7,0.4118,0.3964,0.4118,18.5882,0.4704,6.2941,-0.0586,92
55899,Sam LaPorta,TE,34,19,0.5588,0.2899,0.2647,14.8529,0.6201,12.0294,-0.0613,93
54483,Treylon Burks,WR,16,6,0.375,0.5732,0.4375,28.4375,0.445,10.9375,-0.07,94
56075,DeMario Douglas,WR,22,10,0.4545,0.2775,0.2727,21.0455,0.526,10.7727,-0.0715,95
54499,Christian Watson,WR,22,10,0.4545,0.3221,0.3182,25.8636,0.5301,12.2273,-0.0756,96
54520,Trey McBride,TE,22,14,0.6364,0.3408,0.3182,17.6818,0.7159,12.9091,-0.0795,97
46277,Cedrick Wilson Jr.,WR,20,9,0.45,0.3016,0.4,16.45,0.5404,9.2,-0.0904,98
52584,K.J. Osborn,WR,30,17,0.5667,0.2713,0.2667,16.5667,0.6575,11.8333,-0.0908,99
42547,Darren Waller,TE,17,9,0.5294,0.3277,0.3529,17.5882,0.6227,10.6471,-0.0932,100
45052,Noah Brown,WR,26,13,0.5,0.1684,0.1923,19.8846,0.5992,14.4231,-0.0992,101
55885,Quentin Johnston,WR,28,11,0.3929,0.3217,0.3929,22.7143,0.4937,8.4286,-0.1008,102
47791,T.J. Hockenson,TE,30,17,0.5667,0.3356,0.4,17.2,0.6675,11.7333,-0.1008,103
52441,Tee Higgins,WR,35,16,0.4571,0.3461,0.3429,18.0571,0.5634,10.5714,-0.1062,104
44849,Zay Jones,WR,28,9,0.3214,0.3659,0.2857,20.1786,0.4281,5.0357,-0.1067,105
52465,Van Jefferson,WR,23,7,0.3043,0.324,0.3043,23.6522,0.4113,5.0435,-0.107,106
53463,Elijah Moore,WR,45,19,0.4222,0.1764,0.1778,18.3556,0.5316,8.3778,-0.1093,107
46705,Allen Lazard,WR,25,12,0.48,0.2959,0.2,17.52,0.6177,8.32,-0.1377,108
56056,Trey Palmer,WR,28,11,0.3929,0.3901,0.3571,20.7143,0.536,8.5357,-0.1431,109
48646,Greg Dortch,WR,15,5,0.3333,0.3727,0.2667,17.1333,0.4815,4.8,-0.1481,110
55904,Jonathan Mingo,WR,28,7,0.25,0.1055,0.1071,20.2857,0.3999,6.0357,-0.1499,111
39989,Robert Woods,WR,28,13,0.4643,0.3281,0.3214,16.2143,0.625,7.6786,-0.1607,112
46243,Marquez Valdes-Scantling,WR,25,10,0.4,0.2284,0.2,24.32,0.5616,9.2,-0.1616,113
