nfl_id,player_name,player_position,targets,contested_targets,contested_target_rate,contested_catch_rate,contested_croe,overall_croe_v3,avg_crp,avg_crp_at_release,avg_crp_flight_delta,release_share,flight_share,median_sep_at_throw,avg_air_yards,quadrant,low_sample
45052,Noah Brown,WR,45.0,6.0,0.1333,0.3333,,-0.0642,0.1445,0.0033,0.1412,0.0228,0.9772,2.9766,13.3556,Insufficient contested targets,True
45185,Kendrick Bourne,WR,45.0,8.0,0.1778,0.375,-0.1072,0.0687,0.1946,0.0108,0.1838,0.0557,0.9443,2.7018,11.9333,Uncontested filler,True
45573,Austin Ekeler,RB,49.0,1.0,0.0204,0.0,,-0.1224,0.0291,0.0057,0.0233,0.1972,0.8028,6.7417,0.9796,Insufficient contested targets,True
46071,Saquon Barkley,RB,41.0,5.0,0.122,1.0,,0.0077,0.1206,0.0427,0.0779,0.3539,0.6461,7.649,3.7805,Insufficient contested targets,True
46093,DJ Moore,WR,104.0,32.0,0.3077,0.6562,0.1612,0.1173,0.3169,0.0552,0.2617,0.1742,0.8258,2.8057,13.0865,Trusted contested winner,False
46095,Calvin Ridley,WR,111.0,26.0,0.2342,0.6538,0.1383,-0.0002,0.269,0.0417,0.2273,0.155,0.845,2.1272,13.8018,Trusted contested winner,False
46109,Courtland Sutton,WR,81.0,20.0,0.2469,0.55,0.0964,0.0182,0.2775,0.0349,0.2425,0.1259,0.8741,3.0593,11.5679,Trusted contested winner,False
46116,Christian Kirk,WR,68.0,11.0,0.1618,0.2727,-0.178,0.0105,0.1971,0.0431,0.154,0.2188,0.7812,3.1359,11.5588,Uncontested filler,True
46118,Dallas Goedert,TE,60.0,14.0,0.2333,0.6429,0.0226,-0.0058,0.225,0.0344,0.1907,0.1527,0.8473,3.7451,7.0833,Trusted contested winner,True
46130,D.J. Chark,WR,51.0,11.0,0.2157,0.3636,-0.0686,-0.0085,0.2827,0.0122,0.2705,0.0431,0.9569,2.8834,14.902,Uncontested filler,True
46150,Michael Gallup,WR,49.0,16.0,0.3265,0.5625,0.0859,-0.0028,0.3558,0.0738,0.2821,0.2073,0.7927,2.0695,12.0612,Trusted contested winner,False
46155,Mark Andrews,TE,54.0,12.0,0.2222,0.6667,0.0539,0.0308,0.2435,0.069,0.1746,0.2832,0.7168,3.4562,8.2963,Trusted contested winner,True
46192,Durham Smythe,TE,42.0,5.0,0.119,0.6,,0.0232,0.1438,0.0367,0.1071,0.255,0.745,4.5894,6.7381,Insufficient contested targets,True
46206,Dalton Schultz,TE,77.0,9.0,0.1169,0.2222,-0.1807,0.0079,0.149,0.0341,0.1148,0.2292,0.7708,3.9284,7.9091,Uncontested filler,True
46213,Justin Watson,WR,45.0,11.0,0.2444,0.5455,0.1198,-0.0164,0.3206,0.0474,0.2732,0.148,0.852,2.2406,18.1333,Trusted contested winner,True
46226,Tyler Conklin,TE,74.0,15.0,0.2027,0.5333,-0.0902,0.0297,0.2148,0.0868,0.1281,0.4039,0.5961,3.3778,7.3378,Uncontested filler,False
46705,Allen Lazard,WR,45.0,11.0,0.2444,0.2727,-0.2179,-0.1134,0.2891,0.0427,0.2464,0.1477,0.8523,2.9902,12.4444,Can't separate,True
46797,Tanner Hudson,TE,44.0,9.0,0.2045,0.5556,0.0156,0.1021,0.24,0.0517,0.1883,0.2153,0.7847,3.3825,6.3182,Uncontested filler,True
47791,T.J. Hockenson,TE,117.0,25.0,0.2137,0.44,-0.1488,0.0145,0.2285,0.0337,0.1948,0.1473,0.8527,3.6501,8.0342,Uncontested filler,False
47803,Noah Fant,TE,40.0,6.0,0.15,0.5,,0.0125,0.1861,0.0465,0.1396,0.2497,0.7503,5.3521,7.3,Insufficient contested targets,True
47808,Marquise Brown,WR,80.0,31.0,0.3875,0.2903,-0.1429,-0.0035,0.3531,0.0902,0.2629,0.2555,0.7445,2.5825,12.375,Can't separate,False
47819,Deebo Samuel Sr.,WR,66.0,15.0,0.2273,0.6,0.0353,-0.0414,0.1827,0.0399,0.1429,0.2181,0.7819,3.2533,8.8788,Trusted contested winner,False
47834,A.J. Brown,WR,136.0,28.0,0.2059,0.4286,-0.0329,0.0483,0.2573,0.0373,0.2199,0.1451,0.8549,2.9075,11.75,Uncontested filler,False
47847,DK Metcalf,WR,93.0,26.0,0.2796,0.5385,0.0255,-0.0055,0.2909,0.0497,0.2412,0.171,0.829,2.682,12.4301,Trusted contested winner,False
47849,Diontae Johnson,WR,73.0,16.0,0.2192,0.4375,0.0546,-0.0316,0.2373,0.0144,0.2229,0.0608,0.9392,2.617,13.6301,Efficient separator,False
47859,Terry McLaurin,WR,109.0,37.0,0.3394,0.4595,0.0224,0.0051,0.3511,0.0638,0.2873,0.1817,0.8183,2.7305,13.0,Can't separate,False
47911,Tony Pollard,RB,49.0,5.0,0.102,0.6,,0.0049,0.1302,0.0456,0.0846,0.3502,0.6498,6.4839,1.7755,Insufficient contested targets,True
47954,Darius Slayton,WR,65.0,12.0,0.1846,0.3333,-0.131,-0.0044,0.2344,0.021,0.2134,0.0896,0.9104,3.189,12.5846,Uncontested filler,True
48097,Jakobi Meyers,WR,88.0,27.0,0.3068,0.3333,-0.1127,0.0452,0.2975,0.0422,0.2552,0.142,0.858,2.9562,10.6705,Can't separate,False
52423,Jerry Jeudy,WR,67.0,15.0,0.2239,0.3333,-0.115,0.0025,0.2596,0.0608,0.1988,0.2342,0.7658,3.1481,14.7463,Can't separate,False
52425,CeeDee Lamb,WR,164.0,43.0,0.2622,0.5349,0.0006,0.0719,0.2615,0.0286,0.2328,0.1095,0.8905,2.5521,10.2683,Can't separate,False
52430,Justin Jefferson,WR,85.0,27.0,0.3176,0.4815,0.026,0.0801,0.3022,0.0342,0.2679,0.1133,0.8867,3.0772,13.5412,Trusted contested winner,False
52433,Brandon Aiyuk,WR,96.0,20.0,0.2083,0.55,0.0718,0.0624,0.2054,0.022,0.1834,0.107,0.893,3.0899,13.7188,Efficient separator,False
52441,Tee Higgins,WR,67.0,19.0,0.2836,0.3158,-0.1453,-0.067,0.3019,0.0262,0.2757,0.0869,0.9131,2.6203,12.3433,Can't separate,False
52442,Michael Pittman,WR,115.0,26.0,0.2261,0.6154,0.1548,0.0807,0.244,0.0897,0.1544,0.3675,0.6325,2.6341,8.487,Trusted contested winner,False
52451,Cole Kmet,TE,76.0,13.0,0.1711,0.6154,0.1271,0.0632,0.177,0.0223,0.1546,0.1263,0.8737,4.1916,6.9474,Efficient separator,True
52474,Antonio Gibson,RB,41.0,3.0,0.0732,1.0,,0.0677,0.0697,0.0002,0.0695,0.0032,0.9968,8.0408,1.7317,Insufficient contested targets,True
52536,Gabe Davis,WR,65.0,15.0,0.2308,0.4,0.066,0.0292,0.2602,0.0872,0.173,0.3351,0.6649,2.9929,14.6615,Trusted contested winner,False
52581,Darnell Mooney,WR,41.0,11.0,0.2683,0.0909,-0.2943,-0.0619,0.286,0.0277,0.2584,0.0967,0.9033,3.6278,12.3415,Can't separate,True
52584,K.J. Osborn,WR,61.0,16.0,0.2623,0.4375,-0.0928,-0.0475,0.2707,0.0476,0.2231,0.1759,0.8241,2.5616,10.2787,Can't separate,False
52942,Juwan Johnson,TE,48.0,9.0,0.1875,0.6667,0.19,0.0341,0.2316,0.0149,0.2167,0.0643,0.9357,2.7433,7.9167,Efficient separator,True
53433,Kyle Pitts,TE,79.0,14.0,0.1772,0.5,0.0061,0.0014,0.2306,0.0616,0.169,0.2671,0.7329,3.0376,11.8861,Uncontested filler,True
53434,Ja'Marr Chase,WR,105.0,25.0,0.2381,0.56,0.068,-0.0058,0.274,0.0438,0.2303,0.1598,0.8402,3.411,11.0667,Trusted contested winner,False
53435,Jaylen Waddle,WR,82.0,26.0,0.3171,0.4615,0.0422,0.0238,0.2581,0.0562,0.2019,0.2179,0.7821,3.2451,12.1951,Trusted contested winner,False
53439,DeVonta Smith,WR,91.0,19.0,0.2088,0.5263,0.1327,0.0533,0.2554,0.034,0.2213,0.1333,0.8667,3.0801,13.8022,Efficient separator,False
53454,Travis Etienne,RB,40.0,3.0,0.075,0.6667,,0.0139,0.0636,0.0237,0.0399,0.3727,0.6273,7.6881,1.85,Insufficient contested targets,True
53456,Rashod Bateman,WR,50.0,10.0,0.2,0.6,0.0593,-0.0512,0.2449,0.034,0.2109,0.1387,0.8613,2.1974,14.16,Efficient separator,True
53463,Elijah Moore,WR,84.0,11.0,0.131,0.2727,-0.2192,-0.0806,0.1399,0.0227,0.1172,0.1622,0.8378,3.9018,11.9524,Uncontested filler,True
53464,Javonte Williams,RB,41.0,0.0,0.0,,,-0.0384,0.0078,0.0,0.0078,0.0,1.0,8.0339,-0.3659,Insufficient contested targets,True
53478,Rondale Moore,WR,44.0,7.0,0.1591,0.2857,,-0.1296,0.1595,0.0326,0.1269,0.2046,0.7954,4.9728,8.1136,Insufficient contested targets,True
53486,Tutu Atwell,WR,56.0,10.0,0.1786,0.6,0.0586,-0.0473,0.2285,0.0224,0.2062,0.0978,0.9022,2.6623,12.5179,Efficient separator,True
53506,Josh Palmer,WR,49.0,13.0,0.2653,0.6154,0.0879,0.031,0.3182,0.0685,0.2497,0.2152,0.7848,2.7512,12.2857,Trusted contested winner,True
53518,Nico Collins,WR,85.0,16.0,0.1882,0.6875,0.0672,0.1005,0.2492,0.0452,0.204,0.1813,0.8187,2.3294,12.6118,Efficient separator,False
53541,Amon-Ra St. Brown,WR,136.0,26.0,0.1912,0.6154,0.1028,0.029,0.2295,0.0419,0.1876,0.1824,0.8176,2.863,9.4412,Efficient separator,False
53556,Kylen Granson,TE,43.0,14.0,0.3256,0.4286,-0.0243,-0.0495,0.2558,0.0344,0.2213,0.1347,0.8653,2.9767,9.8372,Can't separate,True
54473,Drake London,WR,96.0,26.0,0.2708,0.5385,0.0387,0.0588,0.2646,0.0775,0.1871,0.2928,0.7072,2.8438,12.1354,Trusted contested winner,False
54475,Garrett Wilson,WR,137.0,38.0,0.2774,0.4211,0.0144,0.0037,0.3062,0.0674,0.2388,0.2203,0.7797,2.8096,10.2628,Can't separate,False
54476,Chris Olave,WR,121.0,23.0,0.1901,0.4783,0.0645,-0.0135,0.2202,0.0266,0.1936,0.121,0.879,2.9383,13.6364,Efficient separator,False
54481,Jahan Dotson,WR,69.0,18.0,0.2609,0.5556,0.0138,-0.009,0.2668,0.0792,0.1876,0.2968,0.7032,3.4832,9.8261,Can't separate,False
54499,Christian Watson,WR,44.0,8.0,0.1818,0.375,-0.0161,-0.0547,0.209,0.0284,0.1806,0.1357,0.8643,3.2631,15.5909,Uncontested filler,True
54501,Breece Hall,RB,58.0,1.0,0.0172,1.0,,-0.0177,0.0574,0.0135,0.0439,0.2355,0.7645,6.3728,1.1724,Insufficient contested targets,True
54508,Wan'Dale Robinson,WR,62.0,3.0,0.0484,1.0,,-0.0312,0.0904,0.0247,0.0657,0.2736,0.7264,4.4231,5.8226,Insufficient contested targets,True
54517,George Pickens,WR,88.0,28.0,0.3182,0.6071,0.0572,0.0465,0.2894,0.0834,0.206,0.2881,0.7119,2.634,12.9545,Trusted contested winner,False
54518,Alec Pierce,WR,60.0,27.0,0.45,0.4444,-0.0596,-0.0516,0.4185,0.069,0.3495,0.1648,0.8352,2.2584,14.95,Can't separate,False
54520,Trey McBride,TE,82.0,14.0,0.1707,0.5,-0.0194,0.041,0.2143,0.0439,0.1705,0.2047,0.7953,3.7938,7.5976,Uncontested filler,True
54528,James Cook,RB,42.0,4.0,0.0952,0.25,,0.0139,0.1254,0.0277,0.0977,0.2207,0.7793,7.0134,4.0476,Insufficient contested targets,True
54556,Rachaad White,RB,52.0,1.0,0.0192,0.0,,0.085,0.0417,0.006,0.0357,0.1438,0.8562,7.8774,0.8846,Insufficient contested targets,True
54571,Cade Otton,TE,62.0,9.0,0.1452,0.4444,-0.0546,-0.0155,0.1716,0.0484,0.1232,0.2819,0.7181,3.869,6.371,Uncontested filler,True
54594,Jake Ferguson,TE,87.0,18.0,0.2069,0.5,0.001,-0.0044,0.2165,0.0383,0.1782,0.1768,0.8232,3.3965,6.1724,Uncontested filler,False
54597,Romeo Doubs,WR,82.0,23.0,0.2805,0.4783,0.0011,0.0219,0.3171,0.0373,0.2798,0.1178,0.8822,2.6229,12.622,Can't separate,False
54608,Chig Okonkwo,TE,60.0,13.0,0.2167,0.6154,0.0625,-0.0189,0.1916,0.036,0.1556,0.1879,0.8121,4.1223,7.9667,Efficient separator,True
54621,Jerome Ford,RB,44.0,5.0,0.1136,0.4,,-0.0319,0.1139,0.0625,0.0514,0.5486,0.4514,5.9407,1.6591,Insufficient contested targets,True
54905,Jaylen Warren,RB,42.0,4.0,0.0952,0.5,,0.0019,0.1034,0.0607,0.0427,0.587,0.413,8.4823,-0.6429,Insufficient contested targets,True
55133,Rashid Shaheed,WR,54.0,13.0,0.2407,0.5385,0.0931,-0.0027,0.2487,0.0324,0.2163,0.1302,0.8698,3.0301,15.2037,Trusted contested winner,True
55872,Bijan Robinson,RB,59.0,4.0,0.0678,0.25,,-0.1287,0.1021,0.0268,0.0752,0.263,0.737,7.6802,1.5254,Insufficient contested targets,True
55876,Jahmyr Gibbs,RB,51.0,3.0,0.0588,0.6667,,-0.0072,0.0876,0.0457,0.0419,0.5221,0.4779,6.5728,1.6078,Insufficient contested targets,True
55884,Jaxon Smith-Njigba,WR,62.0,16.0,0.2581,0.5,-0.0218,0.0042,0.2365,0.0274,0.2091,0.1157,0.8843,4.1069,8.8387,Can't separate,False
55885,Quentin Johnston,WR,53.0,21.0,0.3962,0.2857,-0.1566,-0.0316,0.3602,0.0856,0.2746,0.2377,0.7623,1.9492,14.283,Can't separate,False
55886,Zay Flowers,WR,76.0,9.0,0.1184,0.6667,0.1174,-0.0146,0.137,0.0039,0.1331,0.0282,0.9718,3.1541,11.9211,Efficient separator,True
55887,Jordan Addison,WR,88.0,17.0,0.1932,0.5294,0.052,0.0441,0.23,0.0049,0.2251,0.0212,0.9788,3.6999,12.1136,Efficient separator,False
55889,Dalton Kincaid,TE,78.0,9.0,0.1154,0.6667,0.023,0.0217,0.138,0.0121,0.126,0.0874,0.9126,4.3661,6.1282,Efficient separator,True
55899,Sam LaPorta,TE,112.0,19.0,0.1696,0.5789,0.0992,0.0284,0.19,0.0492,0.1408,0.2592,0.7408,3.2636,7.375,Efficient separator,False
55904,Jonathan Mingo,WR,67.0,11.0,0.1642,0.3636,-0.2289,-0.1028,0.1685,0.0096,0.159,0.0567,0.9433,2.8814,11.9254,Uncontested filler,True
55915,Jayden Reed,WR,69.0,11.0,0.1594,0.2727,-0.1742,0.0395,0.2061,0.0267,0.1794,0.1295,0.8705,2.9069,13.2174,Uncontested filler,True
55920,Rashee Rice,WR,73.0,10.0,0.137,0.4,-0.0947,0.0007,0.143,0.0165,0.1265,0.1151,0.8849,3.8625,7.4247,Uncontested filler,True
55934,Tank Dell,WR,68.0,14.0,0.2059,0.7143,0.1735,-0.0108,0.2098,0.0114,0.1984,0.0545,0.9455,3.1016,14.7353,Efficient separator,True
55944,Josh Downs,WR,80.0,16.0,0.2,0.5,-0.0209,-0.0135,0.2002,0.037,0.1632,0.1848,0.8152,3.2035,7.4,Uncontested filler,False
55959,Michael Wilson,WR,49.0,17.0,0.3469,0.5294,0.0611,0.094,0.2901,0.0565,0.2336,0.1947,0.8053,2.9632,11.551,Trusted contested winner,False
56024,Dontayvion Wicks,WR,47.0,7.0,0.1489,0.4286,,0.0201,0.1704,0.0188,0.1516,0.1101,0.8899,4.2274,11.1489,Insufficient contested targets,True
56042,Puka Nacua,WR,128.0,29.0,0.2266,0.6897,0.1666,0.011,0.2454,0.0352,0.2103,0.1433,0.8567,3.0695,10.3828,Trusted contested winner,False
56056,Trey Palmer,WR,55.0,15.0,0.2727,0.4,-0.0784,-0.0899,0.3104,0.0779,0.2325,0.251,0.749,2.3723,13.0727,Can't separate,False
56075,DeMario Douglas,WR,52.0,12.0,0.2308,0.3333,-0.1444,-0.0838,0.2441,0.0772,0.1669,0.3164,0.6836,1.9223,11.5192,Can't separate,True
