nfl_id,player_name,player_position,pos_group,targets,catches,catch_rate,avg_crp,high_pressure_pct,expected_catch_rate,avg_air_yards,avg_yards,croe,pos_rank,overall_rank
44820,Christian McCaffrey,RB,RB,57,50,0.8772,0.0328,0.0351,0.8136,10.4291,7.7018,0.0636,7,31
44959,George Kittle,TE,TE,83,62,0.747,0.0836,0.0602,0.6843,16.6273,12.0482,0.0627,7,32
46192,Durham Smythe,TE,TE,42,35,0.8333,0.0332,0.0476,0.7757,12.571,8.7143,0.0577,8,33
52442,Michael Pittman,WR,WR,115,88,0.7652,0.1037,0.0783,0.7079,14.9394,8.5391,0.0573,18,34
53541,Amon-Ra St. Brown,WR,WR,136,101,0.7426,0.0736,0.0588,0.6884,16.4792,10.3015,0.0543,19,35
40011,Travis Kelce,TE,TE,96,75,0.7812,0.0794,0.0833,0.7287,14.3401,8.9896,0.0525,9,36
46226,Tyler Conklin,TE,TE,74,57,0.7703,0.1009,0.0946,0.7186,14.3378,7.9865,0.0517,10,37
52536,Gabe Davis,WR,WR,65,42,0.6462,0.1621,0.1538,0.5949,22.0374,10.6769,0.0513,20,38
44835,Evan Engram,TE,TE,112,91,0.8125,0.0749,0.0446,0.7639,12.7887,7.6964,0.0486,11,39
40024,Keenan Allen,WR,WR,128,95,0.7422,0.0641,0.0625,0.6955,17.2614,9.3906,0.0467,21,40
54604,Isaiah Likely,TE,TE,35,27,0.7714,0.0888,0.1143,0.7261,14.632,11.0571,0.0454,12,41
47803,Noah Fant,TE,TE,40,31,0.775,0.1391,0.125,0.7321,14.814,10.1,0.0429,13,42
45185,Kendrick Bourne,WR,WR,45,33,0.7333,0.0906,0.1111,0.6908,19.1651,8.7333,0.0426,22,43
47791,T.J. Hockenson,TE,TE,117,91,0.7778,0.0844,0.0598,0.7354,14.4714,7.8718,0.0424,14,44
53454,Travis Etienne,RB,RB,40,35,0.875,0.0203,0.025,0.8327,8.3418,8.075,0.0423,8,45
43344,Tyler Boyd,WR,WR,74,56,0.7568,0.0972,0.0541,0.7153,14.4936,8.6757,0.0415,23,46
44852,Curtis Samuel,WR,WR,66,49,0.7424,0.0981,0.0758,0.7024,15.2908,7.8939,0.0401,24,47
55934,Tank Dell,WR,WR,68,46,0.6765,0.1039,0.0735,0.6367,21.45,10.3824,0.0397,25,48
56024,Dontayvion Wicks,WR,WR,47,33,0.7021,0.0485,0.0638,0.6637,18.6606,11.2553,0.0384,26,49
40488,Adam Thielen,WR,WR,122,91,0.7459,0.0934,0.0656,0.708,15.4325,7.8361,0.0379,27,50
44930,Josh Reynolds,WR,WR,55,36,0.6545,0.1365,0.0909,0.6182,19.5458,10.8364,0.0363,28,51
46109,Courtland Sutton,WR,WR,81,57,0.7037,0.1164,0.1111,0.6699,18.5596,9.0,0.0338,29,52
53435,Jaylen Waddle,WR,WR,82,57,0.6951,0.1444,0.1341,0.6622,18.4233,11.0854,0.0329,30,53
54528,James Cook,RB,RB,42,35,0.8333,0.0215,0.0238,0.8008,11.2726,9.7381,0.0326,9,54
46116,Christian Kirk,WR,WR,68,48,0.7059,0.0909,0.0735,0.6737,18.6315,10.3676,0.0322,31,55
54517,George Pickens,WR,WR,88,59,0.6705,0.1158,0.1023,0.6388,19.5835,12.5341,0.0317,32,56
54597,Romeo Doubs,WR,WR,82,54,0.6585,0.1287,0.0976,0.6303,20.2583,7.9634,0.0283,33,57
55886,Zay Flowers,WR,WR,76,54,0.7105,0.064,0.0526,0.6827,19.2595,10.2237,0.0279,34,58
55938,Jalin Hyatt,WR,WR,33,21,0.6364,0.0797,0.0606,0.6091,26.0294,10.7273,0.0273,35,59
54608,Chig Okonkwo,TE,TE,60,45,0.75,0.1037,0.1167,0.7243,14.5512,7.85,0.0257,15,60
44879,Alvin Kamara,RB,RB,64,55,0.8594,0.0466,0.0312,0.835,8.4013,6.0312,0.0243,10,61
55915,Jayden Reed,WR,WR,69,47,0.6812,0.1012,0.0725,0.6573,20.8638,10.3188,0.0238,36,62
43324,Hunter Henry,TE,TE,56,40,0.7143,0.1442,0.1071,0.6907,15.6205,7.125,0.0236,16,63
48097,Jakobi Meyers,WR,WR,88,60,0.6818,0.1295,0.125,0.6593,17.4917,8.7727,0.0225,37,64
56042,Puka Nacua,WR,WR,128,88,0.6875,0.1318,0.1172,0.6656,17.4012,10.6797,0.0219,38,65
54508,Wan'Dale Robinson,WR,WR,62,49,0.7903,0.0343,0.0161,0.7695,12.7927,7.6129,0.0208,39,66
55899,Sam LaPorta,TE,TE,112,83,0.7411,0.0764,0.0893,0.7212,14.5004,8.2054,0.0198,17,67
42347,Amari Cooper,WR,WR,107,71,0.6636,0.1091,0.0935,0.644,20.3647,11.5047,0.0196,40,68
44896,Chris Godwin Jr.,WR,WR,103,72,0.699,0.0909,0.0874,0.6804,17.5143,9.466,0.0186,41,69
54473,Drake London,WR,WR,96,65,0.6771,0.1287,0.1458,0.6597,18.6591,9.25,0.0173,42,70
55920,Rashee Rice,WR,WR,73,55,0.7534,0.0332,0.0137,0.7368,14.7295,10.5753,0.0166,43,71
46111,Mike Gesicki,TE,TE,38,28,0.7368,0.0866,0.0526,0.7211,15.1026,6.1316,0.0158,18,72
54716,Isiah Pacheco,RB,RB,32,28,0.875,0.0,0.0,0.8605,7.2947,5.3125,0.0145,11,73
52423,Jerry Jeudy,WR,WR,67,44,0.6567,0.1191,0.0896,0.6424,21.6873,10.7761,0.0143,44,74
43370,Austin Hooper,TE,TE,30,24,0.8,0.0423,0.0333,0.7881,11.4353,7.4333,0.0119,19,75
41349,Logan Thomas,TE,TE,68,52,0.7647,0.0906,0.0882,0.7533,13.1088,6.75,0.0114,20,76
53074,Nick Westbrook-Ikhine,WR,WR,38,27,0.7105,0.0988,0.1053,0.7001,17.2532,9.5,0.0105,45,77
53434,Ja'Marr Chase,WR,WR,105,71,0.6762,0.124,0.1238,0.6661,17.7464,10.0286,0.0101,46,78
55133,Rashid Shaheed,WR,WR,54,36,0.6667,0.1223,0.0926,0.657,22.1948,12.1111,0.0097,47,79
54905,Jaylen Warren,RB,RB,42,36,0.8571,0.0299,0.0238,0.8487,7.1448,4.7381,0.0085,12,80
43399,Tyler Higbee,TE,TE,59,43,0.7288,0.1106,0.0508,0.7203,13.978,7.8814,0.0085,21,81
39983,Zach Ertz,TE,TE,34,25,0.7353,0.0746,0.0882,0.7278,14.4829,5.4412,0.0074,22,82
53484,Pat Freiermuth,TE,TE,39,29,0.7436,0.0527,0.0256,0.7362,14.7744,7.8205,0.0073,23,83
43336,Michael Thomas,WR,WR,56,39,0.6964,0.1854,0.1964,0.6902,15.9598,8.0,0.0063,48,84
42489,Stefon Diggs,WR,WR,123,84,0.6829,0.1001,0.0976,0.6767,17.4876,8.2683,0.0062,49,85
52942,Juwan Johnson,TE,TE,48,34,0.7083,0.0483,0.0417,0.7028,15.5344,6.8542,0.0056,24,86
46118,Dallas Goedert,TE,TE,60,44,0.7333,0.0856,0.0667,0.7289,14.4507,8.2667,0.0044,25,87
54594,Jake Ferguson,TE,TE,87,64,0.7356,0.1137,0.092,0.7314,13.2024,8.5632,0.0042,26,88
42547,Darren Waller,TE,TE,68,50,0.7353,0.0825,0.0735,0.7311,14.4235,7.7059,0.0042,27,89
52443,D'Andre Swift,RB,RB,30,24,0.8,0.0489,0.0667,0.7961,10.5947,3.9,0.0039,13,90
47954,Darius Slayton,WR,WR,65,44,0.6769,0.116,0.0769,0.6757,19.1765,10.3538,0.0012,50,91
55944,Josh Downs,WR,WR,80,58,0.725,0.1153,0.1125,0.7245,14.2656,8.65,0.0005,51,92
48456,Donald Parham,TE,TE,38,26,0.6842,0.1116,0.0526,0.6844,15.3287,7.3158,-0.0002,28,93
52584,K.J. Osborn,WR,WR,61,41,0.6721,0.1073,0.0984,0.6729,17.4864,8.459,-0.0007,52,94
47847,DK Metcalf,WR,WR,93,60,0.6452,0.1269,0.129,0.646,19.7758,11.0,-0.0008,53,95
53591,Noah Gray,TE,TE,38,28,0.7368,0.0499,0.0526,0.7382,13.3808,7.8421,-0.0014,29,96
41233,Mike Evans,WR,WR,118,76,0.6441,0.1204,0.1017,0.6469,21.2892,10.322,-0.0028,54,97
44912,Jonnu Smith,TE,TE,54,40,0.7407,0.0867,0.0926,0.7467,13.2574,8.0926,-0.0059,30,98
54481,Jahan Dotson,WR,WR,69,46,0.6667,0.1391,0.1304,0.6726,17.1135,7.5362,-0.006,55,99
46830,Brandon Powell,WR,WR,38,26,0.6842,0.1297,0.1053,0.692,16.0958,8.0263,-0.0078,56,100
53506,Josh Palmer,WR,WR,49,32,0.6531,0.1628,0.102,0.6611,19.5488,11.2245,-0.008,57,101
46206,Dalton Schultz,TE,TE,77,55,0.7143,0.0803,0.0519,0.7223,15.0879,7.7532,-0.008,31,102
54476,Chris Olave,WR,WR,121,78,0.6446,0.1145,0.0826,0.6543,20.6666,8.7934,-0.0097,58,103
55900,Michael Mayer,TE,TE,36,27,0.75,0.0462,0.0278,0.7603,13.1206,8.8611,-0.0103,32,104
54553,Jalen Tolbert,WR,WR,30,19,0.6333,0.0905,0.0667,0.6438,21.3717,8.2333,-0.0105,59,105
46130,D.J. Chark,WR,WR,51,30,0.5882,0.1235,0.098,0.6047,21.7708,9.3529,-0.0164,60,106
48646,Greg Dortch,WR,WR,34,22,0.6471,0.126,0.1176,0.6654,16.8459,7.9706,-0.0183,61,107
41238,Odell Beckham,WR,WR,55,35,0.6364,0.0481,0.0364,0.657,21.0729,10.3273,-0.0206,62,108
39973,DeAndre Hopkins,WR,WR,110,67,0.6091,0.1306,0.1273,0.63,21.4975,9.2727,-0.0209,63,109
54571,Cade Otton,TE,TE,62,45,0.7258,0.072,0.0645,0.7483,13.3039,7.0,-0.0225,33,110
53433,Kyle Pitts,TE,TE,79,50,0.6329,0.12,0.0759,0.6563,18.0863,7.2405,-0.0234,34,111
47911,Tony Pollard,RB,RB,49,39,0.7959,0.0501,0.0204,0.8232,8.4261,4.7347,-0.0273,14,112
43293,Ezekiel Elliott,RB,RB,34,26,0.7647,0.0934,0.0882,0.7929,8.8241,4.9412,-0.0282,15,113
55907,Luke Musgrave,TE,TE,37,26,0.7027,0.0481,0.0541,0.731,15.5932,7.5135,-0.0283,35,114
45052,Noah Brown,WR,WR,45,27,0.6,0.0582,0.0444,0.6307,21.3351,11.4,-0.0307,64,115
53486,Tutu Atwell,WR,WR,56,33,0.5893,0.1133,0.0893,0.6202,20.6086,8.2143,-0.031,65,116
54501,Breece Hall,RB,RB,58,47,0.8103,0.0202,0.0,0.8414,8.5584,7.5517,-0.0311,16,117
47859,Terry McLaurin,WR,WR,109,68,0.6239,0.1621,0.156,0.6559,19.7904,8.5596,-0.032,66,118
53464,Javonte Williams,RB,RB,41,34,0.8293,0.0,0.0,0.8641,7.0005,4.4878,-0.0349,17,119
52615,Isaiah Hodgins,WR,WR,32,21,0.6562,0.1352,0.125,0.6915,15.6587,7.625,-0.0353,67,120
54499,Christian Watson,WR,WR,44,25,0.5682,0.0788,0.0682,0.6053,24.3475,8.4091,-0.0371,68,121
42357,DeVante Parker,WR,WR,47,28,0.5957,0.1357,0.1064,0.6354,20.0951,7.7234,-0.0396,69,122
55884,Jaxon Smith-Njigba,WR,WR,62,41,0.6613,0.1167,0.1129,0.7024,16.1837,7.6129,-0.0411,70,123
55917,Zach Charbonnet,RB,RB,33,27,0.8182,0.0067,0.0,0.8605,7.2124,4.0303,-0.0423,18,124
53456,Rashod Bateman,WR,WR,50,30,0.6,0.1212,0.08,0.6429,20.8692,6.88,-0.0429,71,125
46095,Calvin Ridley,WR,WR,111,66,0.5946,0.0917,0.0721,0.6376,21.3444,8.4234,-0.043,72,126
44874,JuJu Smith-Schuster,WR,WR,34,22,0.6471,0.1702,0.2059,0.6903,16.3329,6.7353,-0.0432,73,127
44881,Cooper Kupp,WR,WR,83,54,0.6506,0.0826,0.0602,0.6939,16.7277,8.6867,-0.0433,74,128
55876,Jahmyr Gibbs,RB,RB,51,40,0.7843,0.0267,0.0196,0.8292,8.7706,4.3922,-0.0449,19,129
52513,Adam Trautman,TE,TE,30,21,0.7,0.0283,0.0,0.7458,13.833,6.5333,-0.0458,36,130
46213,Justin Watson,WR,WR,45,24,0.5333,0.1148,0.0667,0.581,25.8076,9.4,-0.0476,75,131
47879,Dawson Knox,TE,TE,31,21,0.6774,0.0921,0.0645,0.7265,12.9139,5.871,-0.049,37,132
46071,Saquon Barkley,RB,RB,41,31,0.7561,0.0617,0.0732,0.8071,11.1585,6.2683,-0.051,20,133
46150,Michael Gallup,WR,WR,49,30,0.6122,0.1946,0.2041,0.6653,18.2112,8.4082,-0.053,76,134
47808,Marquise Brown,WR,WR,80,47,0.5875,0.1733,0.175,0.6408,19.7449,6.625,-0.0533,77,135
44860,Joe Mixon,RB,RB,39,31,0.7949,0.0268,0.0256,0.8486,5.9892,4.3077,-0.0537,21,136
54477,Jameson Williams,WR,WR,33,18,0.5455,0.0757,0.0909,0.6023,26.0564,10.9394,-0.0569,78,137
41282,Davante Adams,WR,WR,150,94,0.6267,0.1049,0.08,0.6842,16.8785,7.1667,-0.0575,79,138
44856,Gerald Everett,TE,TE,57,42,0.7368,0.0151,0.0175,0.7948,11.8247,6.8596,-0.0579,38,139
47819,Deebo Samuel Sr.,WR,WR,66,44,0.6667,0.0647,0.0455,0.725,15.2991,10.6364,-0.0583,80,140
54475,Garrett Wilson,WR,WR,137,85,0.6204,0.1605,0.1533,0.6807,16.6801,7.2993,-0.0603,81,141
53556,Kylen Granson,TE,TE,43,27,0.6279,0.1019,0.1163,0.6885,17.2658,8.6047,-0.0606,39,142
53463,Elijah Moore,WR,WR,84,50,0.5952,0.0717,0.0595,0.6572,19.6024,7.0476,-0.062,82,143
47836,Miles Sanders,RB,RB,30,23,0.7667,0.0352,0.0,0.83,8.66,4.3,-0.0633,22,144
47849,Diontae Johnson,WR,WR,73,42,0.5753,0.0909,0.0685,0.6387,21.2037,9.0137,-0.0633,83,145
47807,Josh Jacobs,RB,RB,37,28,0.7568,0.0413,0.027,0.8207,8.84,7.3514,-0.0639,23,146
46277,Cedrick Wilson Jr.,WR,WR,36,21,0.5833,0.1728,0.1389,0.6513,17.5228,7.6944,-0.0679,84,147
44841,David Njoku,TE,TE,96,64,0.6667,0.0917,0.1146,0.7349,13.767,8.0521,-0.0682,40,148
54621,Jerome Ford,RB,RB,44,33,0.75,0.023,0.0,0.8195,8.9009,6.9773,-0.0695,24,149
55885,Quentin Johnston,WR,WR,53,29,0.5472,0.1634,0.1698,0.6212,21.6443,6.8113,-0.074,85,150
52441,Tee Higgins,WR,WR,67,39,0.5821,0.1005,0.0746,0.6591,18.9891,9.2388,-0.077,86,151
56056,Trey Palmer,WR,WR,55,30,0.5455,0.1788,0.1636,0.6338,19.4098,6.4,-0.0883,87,152
39989,Robert Woods,WR,WR,59,35,0.5932,0.0801,0.0678,0.6831,17.2484,6.5932,-0.0898,88,153
54518,Alec Pierce,WR,WR,60,32,0.5333,0.1796,0.15,0.6233,21.7603,8.8167,-0.09,89,154
44849,Zay Jones,WR,WR,53,30,0.566,0.0862,0.0377,0.6598,20.4404,5.3774,-0.0938,90,155
46243,Marquez Valdes-Scantling,WR,WR,37,20,0.5405,0.0053,0.0,0.6356,24.8278,8.3514,-0.0951,91,156
53549,Rhamondre Stevenson,RB,RB,34,25,0.7353,0.0158,0.0,0.8323,8.7668,4.5588,-0.097,25,157
53478,Rondale Moore,WR,WR,44,28,0.6364,0.0864,0.0682,0.7336,15.2377,7.3864,-0.0973,92,158
55939,Cedric Tillman,WR,WR,33,19,0.5758,0.0786,0.0606,0.6743,19.7688,6.9394,-0.0985,93,159
52465,Van Jefferson,WR,WR,35,18,0.5143,0.1406,0.1143,0.6129,24.8134,5.9429,-0.0986,94,160
52581,Darnell Mooney,WR,WR,41,23,0.561,0.1468,0.1463,0.6663,19.2741,9.4878,-0.1053,95,161
46705,Allen Lazard,WR,WR,45,23,0.5111,0.1675,0.1111,0.6322,19.5049,6.9111,-0.121,96,162
55946,Tyjae Spears,RB,RB,33,23,0.697,0.0207,0.0303,0.8219,9.8239,5.0,-0.1249,26,163
56075,DeMario Douglas,WR,WR,52,29,0.5577,0.0695,0.0577,0.6845,18.3417,8.0192,-0.1268,97,164
45573,Austin Ekeler,RB,RB,49,34,0.6939,0.0131,0.0,0.843,8.312,5.2653,-0.1492,27,165
55872,Bijan Robinson,RB,RB,59,40,0.678,0.0214,0.0169,0.8301,8.9293,6.7627,-0.1522,28,166
47885,Alexander Mattison,RB,RB,31,21,0.6774,0.0016,0.0,0.8339,9.5216,4.871,-0.1565,29,167
55904,Jonathan Mingo,WR,WR,67,33,0.4925,0.0757,0.0746,0.6636,18.1352,5.6716,-0.1711,98,168
